px,pz
0.022,2.853
-1.6,1.794
-0.26,1.797
0.716,2.053
-0.396,2.145
-0.005,2.469
1.042,2.285
0.797,1.333
-0.295,1.549
0.288,1.879
-0.312,3.148
-0.944,2.849
-0.248,2.001
0.636,2.141
0.593,1.863
-0.36,1.643
-0.527,2.295
-0.687,1.565
-0.949,2.133
-0.621,1.536
0.208,2.098
0.114,1.406
1.217,2.531
0.434,2.863
0.826,2.539
0.468,2.214
0.66,2.6
0.629,2.213
1.14,1.614
0.62,2.92
0.28,2.13
0.53,1.14
-0.6,1.59
0.15,2.09
-0.03,2.13
-0.06,1.12
-0.225,2.027
-0.754,2.222
0.23,2.698
0.371,2.338
-0.021,3.232
-0.612,0.943
1.206,2.17
0.508,1.381
0.569,2.176
0.103,1.807
0.838,3.147
-0.733,2.681
-0.256,2.027
-0.1,2.148
0.086,2.537
0.8,1.982
-1.426,4.002
-1.062,1.174
0.611,2.297
-0.332,2.734
-0.078,1.322
0.273,1.797
0.465,1.989
0.497,2.423
0.695,2.417
-0.81,2.684
0.337,1.419
-0.023,2.152
0.01,1.575
0.796,2.499
-0.407,1.381
0.304,2.491
-0.091,2.733
-0.457,1.16
0.121,2.534
0.401,1.8
-0.446,1.03
0.505,1.939
-0.082,2.747
0.719,1.381
0.658,1.752
-1.185,3.282
-0.059,1.919
-0.098,2.562
0.547,1.913
0.309,2.333
0.908,2.621
-0.599,2.023
-0.026,2.708
1.301,2.395
-0.691,2.719
0.092,2.217
-0.144,1.932
0.156,1.827
0.815,2.438
1.537,2.256
0.247,1.407
0.352,0.991
1.033,2.682
0.583,2.455
-0.524,1.564
0.158,1.474
0.092,1.326
0.239,1.521
-0.079,2.184
0.652,1.844
0.396,3.526
0.11,3.853
-0.107,2.352
0.845,1.99
-0.066,3.81
-0.664,-0.062
-0.499,0.936
-0.64,2.47
0.55,3.29
-1.24,3.25
0.521,2.17
-0.174,2.215
0.381,2.273
0.537,2.878
-0.121,1.71
-0.501,1.177
0.899,3.33
-0.922,4.101
-0.403,3.019
0.688,1.813
-0.785,0.983
0.725,2.698
0.721,2.064
0.224,1.379
0.097,2.788
-1.186,3.853
-1.19,2.935
-0.538,2.375
0.041,1.601
0.566,2.219
0.848,2.027
-0.047,2.967
-0.037,1.491
0.47,2.679
-1.299,2.058
-0.476,2.283
-0.729,1.377
-0.339,3.315
0.383,2.225
-1.386,2.225
-1.055,1.831
-0.467,3.664
0.318,3.509
0.688,1.552
-1.119,2.793
